First Name,Last Name,Enrollment No,Full Name,Clan,Course,Parents Name,Mobile Number,Email,Band Color,Hostel Allocated,Fees Paid,Pending Fees
Labhansh,Agarwal,2501010696,LABHANSH AGARWAL,Chola,B.Tech - Computer Science and Artificial Intelligence,Pradeep Agarwal,+91833412819,labhansh.pradeep@gmail.com,Red,True,True,True
Madhav,Gupta,2501010252,MADHAV GUPTA,Chola,B.Tech - Computer Science and Artificial Intelligence,Vijay Gupta,+91843591060,madhav.vijay@gmail.com,Blue,False,False,True
Manjeet,Lodha,2501010259,MANJEET LODHA,Chola,B.Tech - Computer Science and Artificial Intelligence,Rajesh Lodha,+91987670222,manjeet.rajesh@gmail.com,Blue,True,True,False
Mayank,Chauhan,2501010271,MAYANK CHAUHAN,Chola,B.Tech - Computer Science and Artificial Intelligence,Deepak Chauhan,+91868750123,mayank.deepak@gmail.com,Red,True,True,False
Mishti,Agarwal,2501010708,MISHTI AGARWAL,Chola,B.Tech - Computer Science and Artificial Intelligence,Vijay Agarwal,+91872559523,mishti.vijay@gmail.com,Red,True,True,True
Mridul,Gupta,2501010668,MRIDUL GUPTA,Chola,B.Tech - Computer Science and Artificial Intelligence,Anil Gupta,+91935705485,mridul.anil@gmail.com,Red,True,False,False
MUSKAN,PARVEEN,2501010602,MUSKAN PARVEEN,Chola,B.Tech - Computer Science and Artificial Intelligence,Pradeep PARVEEN,+91943033396,muskan.pradeep@gmail.com,Red,True,True,True
Nabhya,Singh,2501010288,NABHYA SINGH,Chola,B.Tech - Computer Science and Artificial Intelligence,Vinod Singh,+91926938392,nabhya.vinod@gmail.com,Blue,False,False,False
neha,sharma,2501010300,NEHA SHARMA,Chola,B.Tech - Computer Science and Artificial Intelligence,Sanjay sharma,+91682054959,neha.sanjay@gmail.com,Blue,True,False,True
NIKHIL,SHARMA,2501010304,NIKHIL SHARMA,Chola,B.Tech - Computer Science and Artificial Intelligence,Alok SHARMA,+91686730978,nikhil.alok@gmail.com,Blue,False,False,False
Nitesh,Kumar,2501010309,NITESH KUMAR,Chola,B.Tech - Computer Science and Artificial Intelligence,Ashok Kumar,+91884731459,nitesh.ashok@gmail.com,Blue,False,True,False
oojass,kwatra,2501010636,OOJASS KWATRA,Chola,B.Tech - Computer Science and Artificial Intelligence,Rajesh kwatra,+91921555926,oojass.rajesh@gmail.com,Red,True,True,True
Parth,Saklani,2501010597,PARTH SAKLANI,Chola,B.Tech - Computer Science and Artificial Intelligence,Sandeep Saklani,+91862318192,parth.sandeep@gmail.com,Blue,True,True,False
Parth,Sharma,2501010321,PARTH SHARMA,Chola,B.Tech - Computer Science and Artificial Intelligence,Rajesh Sharma,+91660058527,parth.rajesh@gmail.com,Red,True,True,False
Payal,Phougat,2501010331,PAYAL PHOUGAT,Chola,B.Tech - Computer Science and Artificial Intelligence,Alok Phougat,+91765095391,payal.alok@gmail.com,Red,True,False,True
Piyush,Alagh,2501010333,PIYUSH ALAGH,Chola,B.Tech - Computer Science and Artificial Intelligence,Ajay Alagh,+91631098339,piyush.ajay@gmail.com,Blue,False,False,False
Piyush,Tharwani,2501010335,PIYUSH THARWANI,Chola,B.Tech - Computer Science and Artificial Intelligence,Ajay Tharwani,+91904597436,piyush.ajay979@gmail.com,Blue,True,False,True
POORVANSH,TONK,2501010661,POORVANSH TONK,Chola,B.Tech - Computer Science and Artificial Intelligence,Ramesh TONK,+91645984845,poorvansh.ramesh@gmail.com,Blue,True,True,True
Pranjal,Gangwar,2501010675,PRANJAL GANGWAR,Chola,B.Tech - Computer Science and Artificial Intelligence,Arun Gangwar,+91637158185,pranjal.arun@gmail.com,Red,True,False,False
Pratham,Verma,2501010679,PRATHAM VERMA,Chola,B.Tech - Computer Science and Artificial Intelligence,Ashok Verma,+91667517162,pratham.ashok@gmail.com,Red,True,True,False
pratyusha,singh,2501010349,PRATYUSHA SINGH,Chola,B.Tech - Computer Science and Artificial Intelligence,Sunil singh,+91954201025,pratyusha.sunil@gmail.com,Red,True,False,False
PRAVEEN,CHOUDHARY,2501010350,PRAVEEN CHOUDHARY,Chola,B.Tech - Computer Science and Artificial Intelligence,Arun CHOUDHARY,+91895173558,praveen.arun@gmail.com,Blue,True,True,False
Priyanshu,Shrivastava,2501010644,PRIYANSHU SHRIVASTAVA,Chola,B.Tech - Computer Science and Artificial Intelligence,Vijay Shrivastava,+91742301192,priyanshu.vijay@gmail.com,Blue,False,True,False
Rachit,Masiwal,2501010364,RACHIT MASIWAL,Chola,B.Tech - Computer Science and Artificial Intelligence,Vinod Masiwal,+91925662628,rachit.vinod@gmail.com,Red,False,False,False
Rahil,Paliwal,2501010652,RAHIL PALIWAL,Chola,B.Tech - Computer Science and Artificial Intelligence,Vikram Paliwal,+91713708292,rahil.vikram@gmail.com,Blue,True,False,False
Ramni,kaushik,2501010370,RAMNI KAUSHIK,Chola,B.Tech - Computer Science and Artificial Intelligence,Ashok kaushik,+91991878757,ramni.ashok@gmail.com,Red,True,False,True
Rehaan,Dhillon,2501010372,REHAAN DHILLON,Chola,B.Tech - Computer Science and Artificial Intelligence,Sanjay Dhillon,+91982761564,rehaan.sanjay@gmail.com,Blue,True,False,False
Renuka,Yadav,2501010373,RENUKA YADAV,Chola,B.Tech - Computer Science and Artificial Intelligence,Pradeep Yadav,+91814207359,renuka.pradeep@gmail.com,Red,False,True,True
Rishabh,Singh,2501010376,RISHABH SINGH,Chola,B.Tech - Computer Science and Artificial Intelligence,Alok Singh,+91835203188,rishabh.alok@gmail.com,Red,True,False,False
Rishit,Babbar,2501010378,RISHIT BABBAR,Chola,B.Tech - Computer Science and Artificial Intelligence,Vinod Babbar,+91842389777,rishit.vinod@gmail.com,Red,False,False,False
Ritam,Mishra,2501010610,RITAM MISHRA,Chola,B.Tech - Computer Science and Artificial Intelligence,Anil Mishra,+91733093315,ritam.anil@gmail.com,Red,True,False,True
Ritesh,verma,2501010711,RITESH VERMA,Chola,B.Tech - Computer Science and Artificial Intelligence,Ajay verma,+91634373643,ritesh.ajay@gmail.com,Red,True,True,False
Ritwik,Goutam,2501010380,RITWIK GOUTAM,Chola,B.Tech - Computer Science and Artificial Intelligence,Sandeep Goutam,+91611292683,ritwik.sandeep@gmail.com,Red,True,True,False
Roshni,Singh,2501010665,ROSHNI SINGH,Chola,B.Tech - Computer Science and Artificial Intelligence,Karan Singh,+91897384352,roshni.karan@gmail.com,Red,True,False,True
Rudraksh,Bairagi,2501010389,RUDRAKSH BAIRAGI,Chola,B.Tech - Computer Science and Artificial Intelligence,Ajay Bairagi,+91915916382,rudraksh.ajay@gmail.com,Blue,False,True,False
Saksham,Saxena,2501010395,SAKSHAM SAXENA,Chola,B.Tech - Computer Science and Artificial Intelligence,Ajay Saxena,+91603860554,saksham.ajay@gmail.com,Red,False,False,False
Samarth,Nagpal,2501010400,SAMARTH NAGPAL,Chola,B.Tech - Computer Science and Artificial Intelligence,Ramesh Nagpal,+91980019213,samarth.ramesh@gmail.com,Blue,True,True,False
Sanyam,Garg,2501010406,SANYAM GARG,Chola,B.Tech - Computer Science and Artificial Intelligence,Suresh Garg,+91722912186,sanyam.suresh@gmail.com,Red,True,True,True
Shashank,Badhautia,2501010419,SHASHANK BADHAUTIA,Chola,B.Tech - Computer Science and Artificial Intelligence,Ramesh Badhautia,+91616864703,shashank.ramesh@gmail.com,Red,False,True,False
Shivam,Choubey,2501010426,SHIVAM CHOUBEY,Chola,B.Tech - Computer Science and Artificial Intelligence,Sandeep Choubey,+91638041250,shivam.sandeep@gmail.com,Blue,False,True,False
Shivang,agarwal,2501010429,SHIVANG AGARWAL,Chola,B.Tech - Computer Science and Artificial Intelligence,Vinod agarwal,+91727777765,shivang.vinod@gmail.com,Red,False,False,False
SHIVANSH,BOORA,2501010431,SHIVANSH BOORA,Chola,B.Tech - Computer Science and Artificial Intelligence,Deepak BOORA,+91959154708,shivansh.deepak@gmail.com,Blue,False,False,False
SHIVESH,SAINI,2501010432,SHIVESH SAINI,Chola,B.Tech - Computer Science and Artificial Intelligence,Arun SAINI,+91715017511,shivesh.arun@gmail.com,Red,True,False,True
Shlok,garg,2501010677,SHLOK GARG,Chola,B.Tech - Computer Science and Artificial Intelligence,Ashok garg,+91671034381,shlok.ashok@gmail.com,Red,False,True,True
Shreemoyee,Roy,2501010606,SHREEMOYEE ROY,Chola,B.Tech - Computer Science and Artificial Intelligence,Karan Roy,+91909351272,shreemoyee.karan@gmail.com,Red,True,False,False
Shreyansh,Mishra,2501010438,SHREYANSH MISHRA,Chola,B.Tech - Computer Science and Artificial Intelligence,Arun Mishra,+91730458149,shreyansh.arun@gmail.com,Red,False,False,False
Shubham,Makkar,2501010445,SHUBHAM MAKKAR,Chola,B.Tech - Computer Science and Artificial Intelligence,Arun Makkar,+91818538654,shubham.arun@gmail.com,Blue,False,False,True
Shubham,Mittal,2501010446,SHUBHAM MITTAL,Chola,B.Tech - Computer Science and Artificial Intelligence,Sanjay Mittal,+91650640778,shubham.sanjay@gmail.com,Red,False,True,True
Sneha,Bayan,2501010618,SNEHA BAYAN,Chola,B.Tech - Computer Science and Artificial Intelligence,Anil Bayan,+91953788671,sneha.anil@gmail.com,Blue,False,True,False
Srijan,Pal,2501010633,SRIJAN KUMAR,Chola,B.Tech - Computer Science and Artificial Intelligence,Vikram Pal,+91790212059,srijan.vikram@gmail.com,Blue,False,True,True
Sugunesh,Dande,2501010462,SUGUNESH DANDE,Chola,B.Tech - Computer Science and Artificial Intelligence,Vikram Dande,+91820708855,sugunesh.vikram@gmail.com,Blue,True,False,False
SWASTIK,MISHRA,2501010469,SWASTIK MISHRA,Chola,B.Tech - Computer Science and Artificial Intelligence,Manoj MISHRA,+91991419619,swastik.manoj@gmail.com,Red,True,False,True
TUHINSUVRA,ROY,2501010480,TUHINSUVRA ROY,Chola,B.Tech - Computer Science and Artificial Intelligence,Suresh ROY,+91961509836,tuhinsuvra.suresh@gmail.com,Blue,False,False,True
Tushant,Sharma,2501010481,TUSHANT SHARMA,Chola,B.Tech - Computer Science and Artificial Intelligence,Anil Sharma,+91632541181,tushant.anil@gmail.com,Red,False,True,True
Unnati,Asthana,2501010483,UNNATI ASTHANA,Chola,B.Tech - Computer Science and Artificial Intelligence,Rakesh Asthana,+91990956693,unnati.rakesh@gmail.com,Blue,True,True,True
Urvita,Sharma,2501010486,URVITA SHARMA,Chola,B.Tech - Computer Science and Artificial Intelligence,Sandeep Sharma,+91658663364,urvita.sandeep@gmail.com,Blue,False,False,False
Utkarsh,Jain,2501010605,UTKARSH JAIN,Chola,B.Tech - Computer Science and Artificial Intelligence,Ajay Jain,+91702859136,utkarsh.ajay@gmail.com,Red,False,True,True
UTKARSH,Patidar,2501010487,UTKARSH PATIDAR,Chola,B.Tech - Computer Science and Artificial Intelligence,Sanjay Patidar,+91887916220,utkarsh.sanjay@gmail.com,Blue,True,True,True
Utkarsh,Vashist,2501010588,UTKARSH VASHISHT,Chola,B.Tech - Computer Science and Artificial Intelligence,Manoj Vashist,+91675259798,utkarsh.manoj@gmail.com,Blue,False,True,False
Vansh,Adhlakha,2501010496,VANSH ADHLAKHA,Chola,B.Tech - Computer Science and Artificial Intelligence,Vikram Adhlakha,+91698509390,vansh.vikram@gmail.com,Red,False,True,True
vansh,kumar,2501010563,VANSH KUMAR,Chola,B.Tech - Computer Science and Artificial Intelligence,Deepak kumar,+91848371554,vansh.deepak@gmail.com,Red,True,False,True
Vedaant,Chopra,2501010502,VEDAANT CHOPRA,Chola,B.Tech - Computer Science and Artificial Intelligence,Ajay Chopra,+91640471954,vedaant.ajay@gmail.com,Red,True,True,False
Vinayak,Kulshrestha,2501010506,VINAYAK KULSHRESTHA,Chola,B.Tech - Computer Science and Artificial Intelligence,Manoj Kulshrestha,+91895453652,vinayak.manoj@gmail.com,Red,True,True,True
Vishal,kumar,2501010512,VISHAL KUMAR,Chola,B.Tech - Computer Science and Artificial Intelligence,Anil kumar,+91627159403,vishal.anil@gmail.com,Red,False,True,False
Yash,Gupta,2501010523,YASH GUPTA,Chola,B.Tech - Computer Science and Artificial Intelligence,Ashok Gupta,+91607923061,yash.ashok@gmail.com,Blue,True,True,False
Yash,Srivastava,2501010517,YASH SRIVASTAVA,Chola,B.Tech - Computer Science and Artificial Intelligence,Ramesh Srivastava,+91726905272,yash.ramesh@gmail.com,Blue,True,False,False
Yashaswi,Gusain,2501010524,YASHASWI GUSAIN,Chola,B.Tech - Computer Science and Artificial Intelligence,Vijay Gusain,+91818191887,yashaswi.vijay@gmail.com,Blue,True,False,False
Abhinav,Bhardwaj,2502140004,ABHINAV BHARDWAJ,Chola,"B.Tech - CS,DS and Business",Arun Bhardwaj,+91858427335,abhinav.arun@gmail.com,Blue,True,True,True
aishwarya,bajpai,2502140010,AISHWARYA BAJPAI,Chola,"B.Tech - CS,DS and Business",Sanjay bajpai,+91815306864,aishwarya.sanjay@gmail.com,Red,True,True,False
Anirudh,Singla,2502140013,ANIRUDH SINGLA,Chola,"B.Tech - CS,DS and Business",Suresh Singla,+91688388881,anirudh.suresh@gmail.com,Red,True,True,True
Anmol,Raj,2502140014,ANMOL RAJ,Chola,"B.Tech - CS,DS and Business",Rakesh Raj,+91601157156,anmol.rakesh@gmail.com,Blue,False,True,True
Aryan,Jaiswal,2502140138,ARYAN JAISWAL,Chola,"B.Tech - CS,DS and Business",Rakesh Jaiswal,+91742379807,aryan.rakesh@gmail.com,Blue,False,True,True
Chetanya,Khurana,2502140140,CHETANYA KHURANA,Chola,"B.Tech - CS,DS and Business",Manoj Khurana,+91753142014,chetanya.manoj@gmail.com,Blue,True,True,True
Deepanshu,Sharma,2502140118,DEEPANSHU SHARMA,Chola,"B.Tech - CS,DS and Business",Vikram Sharma,+91973979715,deepanshu.vikram@gmail.com,Blue,True,False,True
Dev,Chauhan,2502140022,DEV CHAUHAN,Chola,"B.Tech - CS,DS and Business",Ashok Chauhan,+91955339452,dev.ashok@gmail.com,Blue,True,True,True
Dhruv,Singla,2502140111,DHRUV SINGLA,Chola,"B.Tech - CS,DS and Business",Arun Singla,+91683105914,dhruv.arun204@gmail.com,Blue,False,False,True
Harshit,Raut,2502140026,HARSHIT RAUT,Chola,"B.Tech - CS,DS and Business",Pradeep Raut,+91716877277,harshit.pradeep@gmail.com,Blue,False,False,True
Kritika,Rawat,2502140034,KRITIKA RAWAT,Chola,"B.Tech - CS,DS and Business",Suresh Rawat,+91910945048,kritika.suresh@gmail.com,Blue,False,True,True
LAVYA,GUPTA,2502140039,LAVYA GUPTA,Chola,"B.Tech - CS,DS and Business",Ashok GUPTA,+91632726345,lavya.ashok@gmail.com,Red,False,False,True
Nibha,Singh,2502140128,NIBHA SINGH,Chola,"B.Tech - CS,DS and Business",Sandeep Singh,+91630690373,nibha.sandeep@gmail.com,Red,False,False,False
